Subject ID,max_abs_X,max_abs_Y,max_abs_Z,max_abs_RX,max_abs_RY,max_abs_RZ,mean FD
DMP0005,0.21765,0.17627,0.29987,0.31753,0.25641,0.58298,0.14863
DMP0010,0.30517,0.15154,1.09563,3.40910,0.60394,0.39449,0.35236
DMP0011,0.07076,0.29243,0.46442,0.19191,0.18170,0.17807,0.07314
DMP0018,0.18206,0.23367,0.17222,0.26054,0.14714,0.34787,0.11625
DMP0019,0.12443,0.45248,0.47882,0.42567,0.35882,0.10199,0.08228
DMP0032,0.11917,0.19022,0.46006,0.60944,0.27720,0.11694,0.10164
DMP0034,0.13289,0.66151,0.36467,0.09938,0.12282,0.06020,0.10367
DMP0036,0.22076,0.29424,0.37980,0.40553,0.26314,0.43031,0.12313
DMP0048,0.12304,0.20714,0.50181,0.52390,0.19866,0.20672,0.06489
DMP0060,0.11148,0.32796,0.64268,0.30196,0.15101,0.26003,0.11858
DMP0062,0.14184,0.96206,1.35894,1.71277,0.33009,0.17978,0.20446
DMP0063,0.04157,0.27910,0.34497,0.19482,0.13097,0.02987,0.08482
DMP0090,0.11962,0.39233,0.84271,0.26114,0.45445,0.21609,0.15728
DMP0095,0.36311,0.92660,0.36932,1.56508,0.45835,0.25332,0.27119
DMP0097,0.07686,0.20793,0.30031,0.16909,0.12571,0.13286,0.08463
DMP0098,0.08612,0.20540,0.32752,0.22457,0.15452,0.12177,0.10900
DMP0106,0.03302,0.56352,0.40655,0.26040,0.23558,0.29705,0.06546
DMP0109,0.08447,0.31139,0.46653,0.50160,0.16295,0.23695,0.11017
DMP0110,0.06705,0.71287,0.33856,0.68294,0.24282,0.32355,0.13797
DMP0115,0.59685,0.24689,0.47998,0.38392,0.85306,0.57897,0.12805
DMP0118,0.16445,0.82192,1.30089,0.92447,0.39746,0.16513,0.13760
DMP0140,0.16767,0.87416,2.12940,2.24232,0.36257,0.28965,0.17425
DMP0148,0.14222,1.08983,1.07448,1.73122,0.33933,0.08429,0.10568
DMP0153,0.29947,1.00233,0.56018,1.79618,0.37029,0.35643,0.17108
DMP0154,0.03284,0.28199,0.21932,0.36251,0.04692,0.06951,0.06215
DMP0157,0.17944,0.92256,0.21067,0.50319,0.50230,0.08801,0.11731
DMP0169,0.07940,0.49236,0.43627,0.30975,0.22283,0.24001,0.15357
DMP0171,0.31339,0.25011,0.38707,0.30151,0.53443,0.47050,0.09487
DMP0183,0.17809,0.28690,0.60386,0.21354,0.19367,0.18739,0.14243
DMP0188,0.17134,0.27290,0.43648,0.43681,0.15660,0.57820,0.08281
DMP0199,0.10556,0.57495,0.31903,0.32790,0.20205,0.06740,0.07569
DMP0200,0.03233,0.22150,0.30835,0.17068,0.12897,0.11962,0.08988
DMP0202,0.24441,0.69620,1.10770,1.06969,0.18940,0.12695,0.22096
DMP0216,0.08840,0.35628,2.34850,1.00609,0.45235,0.55853,0.33212
DMP0217,0.68582,0.51504,0.71675,0.94615,1.16674,1.87885,0.24467
DMP0219,0.19838,0.40547,1.05815,0.71759,0.32424,0.41768,0.15297
DMP0224,0.29274,1.18233,0.64498,1.24363,0.30431,0.58341,0.14038
DMP0229,0.05925,0.40211,0.47436,0.28668,0.26203,0.14048,0.05538
DMP0259,0.50561,0.27580,0.40053,0.67613,0.86708,0.66396,0.15599
DMP0267,0.10165,0.24318,0.61140,0.21470,0.42390,0.10028,0.15170
DMP0269,0.27395,0.44371,0.19549,0.35102,0.21176,0.21650,0.09667
DMP0273,0.14999,0.35117,0.45856,0.36325,0.75480,0.41837,0.11926
DMP0290,0.07935,0.45310,0.41760,0.21075,0.22368,0.12764,0.11462
DMP0295,0.12165,0.35798,0.33667,1.11164,0.27942,0.15050,0.14539
DMP0301,0.07388,0.31037,0.36385,0.40168,0.32676,0.28182,0.14450
DMP0305,0.04968,0.28277,0.27749,0.23526,0.04848,0.05067,0.05251
DMP0313,0.31000,1.50354,0.23007,1.55542,0.56866,0.88670,0.12866
DMP0330,0.27722,1.06075,1.17587,0.90880,0.26987,0.39250,0.13907
DMP0350,0.12001,0.41621,1.04439,0.68990,0.09337,0.36525,0.12430
DMP0356,0.08804,0.24570,0.22236,0.09478,0.24704,0.06888,0.08108
DMP0357,0.35326,0.43732,0.71951,1.17352,0.27433,0.70891,0.14430
DMP0381,0.17961,0.49674,5.54818,2.79235,0.69074,0.39682,0.34545
DMP0389,0.08917,0.38556,0.69707,0.45388,0.27055,0.11900,0.09558
DMP0414,0.30055,0.66640,0.50991,0.56311,0.55465,0.40762,0.13827
DMP0418,0.08705,0.95176,0.47496,2.01677,0.35209,0.26271,0.18891
DMP0423,0.26728,0.20733,0.72896,0.35423,0.24983,0.18614,0.08247
DMP0442,0.24724,1.11237,1.06926,1.45275,0.55296,0.15739,0.41097
DMP0445,0.58042,0.48853,0.82281,0.13112,0.23498,0.47325,0.11862
DMP0492,0.26779,0.24416,0.09913,0.41786,0.27797,0.43164,0.10578
DMP0498,0.73543,0.39279,0.32041,0.35036,1.23439,0.75398,0.18029
DMP0502,0.08186,0.28671,0.48000,0.46436,0.36266,0.08987,0.11158
DMP0509,0.04045,0.51459,0.26498,0.28781,0.11386,0.09577,0.06530
DMP0510,0.14629,0.30554,0.42647,0.05711,0.31243,0.10727,0.10200
DMP0521,0.17035,0.84312,0.72320,2.57817,0.52370,0.32712,0.07977
DMP0523,0.17667,0.50616,0.16940,0.40059,0.25956,0.32590,0.12581
DMP0528,0.34215,1.81708,0.43408,2.04789,0.88417,0.53594,0.29627
DMP0556,0.11061,0.25858,0.31186,0.42590,0.80795,0.21329,0.16643
DMP0558,0.05714,0.19448,0.22960,0.28344,0.07167,0.11921,0.09449
DMP0559,0.34466,0.81236,1.01386,0.67163,0.50116,0.22688,0.18559
DMP0574,0.28726,0.34033,0.64208,0.67422,0.72866,0.11196,0.13374
