,X,DMP_ID,composite,csh_residual_variance,vnb_residual_variance,mean.FD,age,sex
1,1,DMP0005,0.026054347,-0.375769253,-0.963350892,0.14863,28,Female
3,3,DMP0011,1.47409113,-0.395430775,0.408512494,0.07314,24,Male
4,4,DMP0018,-0.578343564,1.022538938,0.539070835,0.11625,30,Male
5,5,DMP0019,0.78916319,-1.38405641,0.386448517,0.08228,30,Male
6,6,DMP0034,-0.968471511,-0.361950392,-0.425857198,0.10367,19,Female
7,7,DMP0036,-0.474494334,2.031491035,-1.392005963,0.12313,27,Male
8,8,DMP0048,0.197851873,-0.220043187,-0.967360627,0.06489,29,Female
9,9,DMP0060,0.587476706,0.132780997,-0.905599277,0.11858,20,Male
10,10,DMP0062,0.158604914,-1.673981846,0.286849851,0.20446,27,Female
11,11,DMP0063,-0.09419861,-0.199525189,-0.604025223,0.08482,23,Female
12,12,DMP0090,0.271929817,-1.20751524,-0.368389633,0.15728,25,Male
13,13,DMP0095,0.504021652,-0.067421627,-0.679199332,0.27119,24,Female
14,14,DMP0097,0.24603318,-0.537356102,0.658499796,0.08463,25,Female
15,15,DMP0098,0.763197156,-0.219867682,-0.5755574,0.109,27,Male
16,16,DMP0106,0.830059631,0.729664649,-0.184335618,0.06546,25,Female
17,17,DMP0109,0.231655612,0.249818899,-0.41714596,0.11017,18,Male
18,18,DMP0110,-0.131725947,0.077718252,-0.674093617,0.13797,23,Male
19,19,DMP0115,-0.384260842,-0.252319564,-0.210882634,0.12805,24,Male
20,20,DMP0118,0.81782975,1.25324279,-0.269268482,0.1376,28,Female
21,21,DMP0148,0.72117595,0.297135844,-1.475178685,0.10568,21,Male
22,22,DMP0153,-1.099595981,-2.276785353,-0.516270586,0.17108,20,Male
23,23,DMP0154,0.389114559,-0.783228157,0.182950148,0.06215,27,Female
24,24,DMP0157,0.247159679,0.642290215,-0.150158819,0.11731,19,Female
25,25,DMP0169,0.189658912,-0.851965451,-0.897702332,0.15357,24,Female
26,26,DMP0171,-0.193968591,-0.800897226,0.129925474,0.09487,26,Male
27,27,DMP0183,-0.067955051,1.210350448,-2.043525243,0.14243,34,Male
28,28,DMP0188,0.170706486,0.221410524,0.069296271,0.08281,21,Male
29,29,DMP0199,1.009477476,-0.555603286,0.279002195,0.07569,23,Male
30,30,DMP0200,-0.515992426,-0.302120516,0.155168206,0.08988,28,Male
31,31,DMP0202,-0.553861557,1.659073526,-0.394576303,0.22096,18,Female
33,33,DMP0217,-0.190937491,0.395943457,-0.593160943,0.24467,29,Male
34,34,DMP0219,-0.271847737,-0.863609626,0.887381222,0.15297,21,Female
35,35,DMP0224,0.262090764,0.986468077,-0.483267139,0.14038,22,Male
36,36,DMP0229,-0.613877253,-1.943819124,0.365096453,0.05538,20,Male
37,37,DMP0259,0.044152905,0.367362573,-0.455900616,0.15599,24,Male
38,38,DMP0269,0.035010171,-0.583925485,-0.409715402,0.09667,26,Male
39,39,DMP0273,-0.48508069,-0.324175145,0.715585937,0.11926,26,Female
40,40,DMP0290,0.274686914,-0.323565028,0.91068616,0.11462,20,Male
41,41,DMP0295,-0.160240125,0.367084308,0.251768888,0.14539,26,Male
42,42,DMP0301,-0.660974005,0.049469266,0.375504364,0.1445,29,Female
43,43,DMP0305,0.283092107,-0.494221917,-0.035168954,0.05251,32,Male
44,44,DMP0313,0.422370638,-0.333847729,-0.009893944,0.12866,33,Female
45,45,DMP0350,-1.192992314,-0.039420419,0.296712592,0.1243,24,Female
46,46,DMP0356,0.651930417,0.253774318,-0.326914631,0.08108,18,Male
47,47,DMP0357,-0.076505361,0.165873501,-1.103013218,0.1443,28,Female
49,49,DMP0389,1.036338786,-0.472725221,1.373865605,0.09558,18,Male
50,50,DMP0414,0.252650209,-0.314799942,0.123225613,0.13827,24,Male
51,51,DMP0418,0.294634513,0.717418593,2.232563575,0.18891,18,Female
52,52,DMP0423,0.345453114,-0.051692081,-0.094602032,0.08247,28,Male
54,54,DMP0445,-0.749262551,-0.332817224,-0.53278535,0.11862,18,Male
55,55,DMP0492,-0.428499126,0.442521585,-0.655822541,0.10578,21,Female
56,56,DMP0498,0.944533132,-0.087181112,1.216623833,0.18029,19,Male
57,57,DMP0502,0.013720273,-0.037649197,-0.276209856,0.11158,26,Male
58,58,DMP0509,0.47896385,0.015392738,0.138326193,0.0653,22,Female
59,59,DMP0510,0.073082942,-1.112026849,0.469963211,0.102,26,Female
60,60,DMP0523,0.944001438,1.794033176,-0.779063998,0.12581,34,Female
61,61,DMP0528,-0.157924784,1.647925253,-0.316497191,0.29627,19,Female
62,62,DMP0556,-0.737253612,-2.871583675,0.853477208,0.16643,34,Male
63,63,DMP0558,-0.395286481,-0.56913483,0.209858543,0.09449,23,Female
64,64,DMP0559,0.536565968,-0.308641653,-0.974248015,0.18559,22,Male
65,65,DMP0574,0.139749004,-0.352525116,0.308214491,0.13374,27,Male
66,66,DMP0587,-0.46973842,-1.986359977,-0.618628681,0.04704,27,Male
67,67,DMP0596,0.412723185,0.252824272,-1.828375885,0.10935,18,Female
68,68,DMP0598,0.642159419,-0.263383452,0.239077255,0.19828,27,Female
69,69,DMP0614,0.470229649,1.306436368,-0.925602252,0.07687,18,Male
70,70,DMP0628,-0.103703885,1.358771438,-0.127632023,0.08725,23,Male
71,71,DMP0649,0.284543863,0.550681333,0.954429327,0.04393,31,Male
72,72,DMP0660,-0.378080563,0.200144577,1.140355161,0.27732,27,Male
73,73,DMP0678,-0.109191041,1.27687762,-0.20295964,0.12692,25,Male
74,74,DMP0679,-0.268293205,-0.263165307,-0.74409445,0.07535,18,Male
75,75,DMP0700,0.509204284,-2.047039591,-0.568950328,0.08269,28,Male
76,76,DMP0701,0.027826422,0.24450004,-0.266381657,0.15113,20,Male
77,77,DMP0715,0.339651902,0.189000755,0.295130558,0.20654,24,Female
78,78,DMP0730,-0.286050007,-1.131775351,0.605436315,0.15648,20,Female
79,79,DMP0755,0.004516876,-0.260679214,0.886414362,0.2284,19,Male
80,80,DMP0759,0.839815236,-0.566746034,0.274598668,0.06157,31,Male
82,82,DMP0772,-0.068582297,1.099478516,-0.6070356,0.10193,19,Female
83,83,DMP0773,-0.537021893,0.958269791,0.581451156,0.11619,22,Male
84,84,DMP0775,-0.793893234,0.387814598,0.104747484,0.09955,30,Female
87,87,DMP0793,-0.594529566,0.36617046,1.076779765,0.10901,23,Male
88,88,DMP0795,-0.8150053,0.210387558,0.240560695,0.08889,32,Male
89,89,DMP0800,-0.706716981,-1.603920338,-0.126777083,0.0675,18,Female
90,90,DMP0801,-0.486551064,-0.840297706,0.359376353,0.08234,28,Male
91,91,DMP0808,-0.527256766,0.253236914,0.621211461,0.20332,18,Male
92,92,DMP0813,-1.099171621,1.127431842,-0.873276179,0.09306,24,Male
93,93,DMP0821,0.133979985,0.405316381,1.05251036,0.13111,22,Male
94,94,DMP0844,-0.776055929,1.031409144,-0.969516401,0.09659,33,Male
95,95,DMP0847,0.121306995,-0.958581738,-0.676144609,0.14437,21,Male
96,96,DMP0848,-0.724996852,-2.952222333,0.944064538,0.17634,28,Male
97,97,DMP0859,-0.878437369,-0.999018505,1.071044371,0.20987,24,Female
98,98,DMP0870,0.193009942,-0.698972909,1.455983263,0.21357,20,Male
99,99,DMP0877,-0.869108671,-1.116993716,0.915920994,0.30261,18,Male
100,100,DMP0889,-1.343598484,0.71739621,0.732772501,0.29467,23,Female
101,101,DMP0897,0.685411107,0.568483486,0.78766596,0.19597,21,Female
104,104,DMP0913,0.084338514,0.579883452,1.324396386,0.09719,19,Male
107,107,DMP0928,-0.068608494,-1.143125958,0.645130151,0.19526,23,Female
108,108,DMP0929,0.155654407,0.343469201,0.786669264,0.15188,23,Female
109,109,DMP0937,0.515450035,0.276936156,0.978967843,0.15409,34,Female
110,110,DMP0939,0.172527679,0.417239355,-0.283815111,0.13792,20,Female
112,112,DMP0954,-0.260531765,-1.326237681,0.297436038,0.06892,21,Female
113,113,DMP0969,0.547412312,-0.4671253,1.92418312,0.07751,28,Male
114,114,DMP0971,0.496042449,1.160466141,-0.884188023,0.16322,27,Male
115,115,DMP0975,0.007760612,-0.077461102,0.714630079,0.26485,27,Male
116,116,DMP0978,0.003707706,1.588264871,-1.297461392,0.25907,28,Male
117,117,DMP0982,0.354462612,0.380200252,-0.620531359,0.08414,18,Male
118,118,DMP0985,0.231851644,0.04095506,1.013737736,0.09481,21,Male
119,119,DMP0996,-0.909917185,-0.742323883,0.244636905,0.18434,28,Male
120,120,DMP1000,-0.174235175,0.775964081,-0.387520345,0.21927,30,Male
121,121,DMP1001,-0.136372787,1.1826324,-0.668863307,0.10697,22,Female
122,122,DMP1003,0.142950886,0.132213044,-0.562491458,0.21795,32,Male
124,124,DMP1028,-0.094037351,0.326808008,-0.578384334,0.09425,23,Female
125,125,DMP1039,0.138751981,0.269719848,-0.436420892,0.22179,18,Female
126,126,DMP1052,0.643207715,0.280870112,1.707980286,0.15826,29,Female
127,127,DMP1062,-0.358409671,0.445855357,0.303678708,0.20584,28,Female
128,128,DMP1064,-0.329957981,-0.785043162,0.136327205,0.15774,22,Male
129,129,DMP1083,0.267458127,0.685786742,-0.489308445,0.12148,19,Female
130,130,DMP1090,-0.210393181,-0.040091597,-0.600515362,0.12435,27,Female
131,131,DMP1095,0.069789731,-1.288252195,-0.007144191,0.06454,29,Male
132,132,DMP1100,0.023301878,-0.327422341,-1.643491398,0.17035,34,Male
133,133,DMP1114,0.353950442,-0.433457836,0.563474596,0.13969,23,Male
134,134,DMP1135,0.62927367,-1.205043511,1.359407712,0.13529,26,Male
135,135,DMP1157,1.043869677,0.215329137,-0.297938125,0.12201,22,Male
136,136,DMP1165,-0.757694668,-0.438120606,0.763208683,0.14075,28,Male
137,137,DMP1172,0.13224205,0.886621492,0.574518388,0.15379,19,Male
138,138,DMP1183,0.547006862,-0.181579922,-1.538626281,0.04988,29,Female
139,139,DMP1192,-0.121362795,0.40660196,0.420070492,0.07846,19,Male
140,140,DMP1205,0.197400269,-0.627892312,0.243183236,0.13205,27,Female
141,141,DMP1221,-0.479634163,0.207663787,-0.070440538,0.07317,20,Male
142,142,DMP1225,1.370524158,0.088951752,0.997718937,0.07094,18,Male
143,143,DMP1226,-0.096173881,0.750418623,-0.048153234,0.06911,19,Male
144,144,DMP1227,-1.203442606,0.320547166,-0.488465799,0.17348,25,Male
145,145,DMP1231,0.180558661,-0.003619315,-0.291628519,0.10985,22,Female
146,146,DMP1241,0.585985686,-0.659306312,0.930903398,0.0907,25,Female
147,147,DMP1243,-0.002965056,-0.204319655,-1.669686528,0.14248,19,Female
149,149,DMP1252,-0.623984429,1.456316241,-0.561743509,0.06191,22,Male
150,150,DMP1260,0.261263253,0.680929984,-0.961192751,0.14683,33,Female
151,151,DMP1266,-0.10202934,1.162767655,-0.60321937,0.18957,25,Male
152,152,DMP1271,0.626772069,1.050960249,-0.634062866,0.10195,29,Male
153,153,DMP1291,-0.177459564,0.548668215,0.268065501,0.05186,26,Male
