SM-DA,SM-VA,SM-FP,SM-DMN,DA-VA,DA-FP,DA-DMN,VA-FP,VA-DMN,FP-DMN
-0.42936,0.26454,-0.25022,0.11169,-0.10962,0.032729,-0.17995,0.13593,0.22168,0.22314
0.11919,0.38348,-0.11727,0.067556,0.25535,0.24235,-0.029907,0.066746,-0.012421,0.11761
-0.24428,0.27515,-0.42215,-0.089642,-0.11404,0.23244,-0.16156,-0.0084509,-0.012962,0.11669
-0.015583,-0.10594,-0.23217,-0.080316,0.29512,0.24626,-0.079203,0.09509,-0.17725,0.20146
0.37985,0.52592,0.10278,-0.068254,0.23278,0.24642,-0.15367,0.14134,-0.060316,0.16458
0.057952,0.30712,-0.18361,0.024506,0.032917,0.12252,0.0096255,0.040244,-0.016757,0.11041
0.1134,0.21781,-0.21222,-0.14751,0.16924,0.16132,-0.15861,-0.070111,-0.16353,0.12848
0.14478,0.49483,-0.11479,-0.087443,0.060738,0.18957,-0.024101,0.0083729,0.016789,0.17435
0.20925,0.38366,-0.082287,0.17178,0.19897,0.34439,-0.081376,0.042095,0.099047,0.15246
0.14625,0.24824,-0.098053,-0.021276,0.12974,0.19339,-0.24964,-0.030395,-0.042275,0.089025
0.46938,0.59103,-0.074898,-0.22783,0.34307,0.12594,-0.23125,0.030178,-0.21676,0.14699
0.93199,0.8353,0.59661,0.66572,0.75523,0.789,0.70721,0.60322,0.55499,0.63992
0.026325,0.36158,-0.18494,-0.11752,0.13629,0.20901,-0.088001,-0.01371,-0.091134,0.2223
0.23975,0.37901,-0.1219,0.094676,0.25908,0.14894,0.082039,6.57E-05,0.015946,0.15169
0.00068704,0.50855,-0.12193,-0.073416,0.077812,0.1025,-0.16368,-0.06671,-0.18122,0.19691
-0.0053477,-0.044268,-0.33516,-0.33163,0.062592,0.27823,-0.11532,0.036434,-0.0076487,0.26175
0.28444,0.49462,-0.039761,-0.017089,0.25251,0.10272,-0.0085217,-0.041777,-0.026578,0.10329
0.18699,0.46826,-0.011871,0.026003,0.35744,0.30301,0.0040793,0.22547,0.0091537,0.23951
0.19186,0.42299,-0.12042,-0.1436,0.24026,0.25338,-0.24507,-0.056372,-0.13472,0.11725
-0.0091993,0.10679,-0.21918,0.20759,0.29092,0.28293,-0.041083,0.11515,-0.10801,0.042474
-0.18988,0.15041,-0.45538,-0.30018,0.13039,0.24568,0.027848,0.025475,-0.12572,0.18421
0.067622,0.18615,-0.040103,0.10249,0.16466,0.23084,0.028668,0.14712,0.10193,0.1914
-0.17923,0.17723,-0.36425,0.0054217,0.0066979,0.1659,-0.069448,0.0039117,-0.0082361,0.10233
-0.13897,0.33847,-0.19459,-0.069106,-0.051493,0.0884,-0.096148,-0.088107,-0.25624,0.045421
0.37184,0.47884,0.17011,0.166,0.43228,0.39991,0.097147,0.17761,-0.0014985,0.22112
0.15047,0.27854,-0.26467,-0.038894,0.12021,-0.04116,-0.090449,-0.010488,-0.0011063,0.17311
0.049215,0.48699,-0.015282,-0.072542,0.038115,0.14952,0.034436,0.037276,0.0095383,0.23907
0.11792,0.27526,-0.3668,-0.24735,0.021959,0.12484,-0.1191,-0.06516,-0.11757,0.15795
0.084033,0.32837,-0.06215,0.092894,0.099201,0.035926,-0.13146,-0.0085747,-0.019421,0.25776
0.043707,0.30532,-0.20931,-0.21087,0.14065,0.13495,-0.025582,0.17585,-0.030188,0.20411
0.45163,0.42384,0.12798,0.16244,0.32227,0.30606,0.13845,0.20961,0.12373,0.31276
0.97796,0.91565,0.48849,0.43093,0.75152,0.55805,0.33789,0.45452,0.26291,0.37325
0.25119,0.2351,-0.31077,-0.094019,0.07955,-0.03738,-0.25043,-0.080679,-0.022642,0.10425
0.47248,0.34159,-0.021948,0.051894,0.34036,0.19662,0.03083,0.058931,-0.049493,0.14661
0.13398,0.29418,-0.055262,-0.0033705,0.20465,0.24214,0.015912,0.23401,0.083491,0.18634
-0.038136,0.22711,-0.26205,-0.34251,0.029005,0.10854,-0.184,-5.69E-05,-0.15544,0.16256
0.1942,0.19888,-0.19959,-0.14128,0.057006,0.11163,0.017306,0.03995,-0.089546,0.18699
-0.075419,0.41655,-0.046338,0.21726,0.0098073,0.14232,-0.18637,0.053411,0.12534,0.15973
0.16099,0.17368,-0.026917,0.047348,0.22304,0.16928,0.055515,0.15209,0.088905,0.23334
-0.08843,0.079609,-0.26326,-0.12825,0.12938,0.22561,-0.0010634,0.0093453,-0.013109,0.2978
-0.21904,-0.15956,-0.29652,-0.25184,0.17109,0.26047,0.027097,0.082638,0.014483,0.25196
-0.20855,0.031932,-0.34302,0.022964,-0.02056,0.10006,-0.31111,0.076313,-0.11269,0.12357
0.29945,0.41212,0.067432,0.31932,0.34764,0.45673,-0.063129,0.23274,0.071377,0.04926
-0.16951,0.010261,-0.2797,-0.15109,0.1768,0.15695,-0.0060849,0.20434,0.18395,0.29244
0.46532,0.54829,-0.12491,-0.057205,0.32987,0.13484,0.016941,-0.049013,-0.015743,0.43384
0.036725,0.21593,-0.081137,-0.17849,0.039934,0.161,0.054322,0.11362,-0.025429,0.17923
-0.15511,0.34967,-0.18267,-0.082884,0.098991,0.15275,-0.038986,-0.030835,-0.085829,0.083408
-0.035135,0.35374,-0.13989,0.015275,-0.017269,0.098936,-0.079559,-0.0032381,0.010265,0.079917
-0.29777,-0.018353,-0.32702,-0.079776,0.16402,0.2241,0.11665,0.040283,-0.035471,0.21262
-0.059957,0.26035,-0.18611,-0.155,0.050756,0.052,-0.08457,0.11383,0.054805,0.20629
0.20903,0.18206,-0.14028,0.074932,0.17319,0.24607,0.058529,0.08498,0.025547,0.4367
0.082582,0.22729,-0.14725,-0.013482,-0.073509,0.1957,-0.015576,-0.12484,-0.070891,0.14791
0.31757,0.60886,0.17684,0.27222,0.25245,0.64192,0.25951,0.22275,0.3123,0.43244
0.057353,0.35215,-0.17904,-0.13077,0.12869,-0.027309,-0.20983,0.029816,-0.084401,0.16856
-0.37445,0.048858,-0.25336,-0.1415,0.21172,0.21441,-0.015796,0.13842,-0.0019499,0.093089
-0.008214,0.30376,-0.20372,0.093346,0.1985,0.079331,-0.17258,-0.046548,0.0034626,0.11495
-0.087074,0.319,-0.1913,0.019882,0.044696,0.08708,-0.033936,0.071805,0.14237,0.19957
0.96686,0.76405,0.58901,0.45409,0.65478,0.77366,0.50207,0.49632,0.3173,0.53118
0.013347,0.19052,-0.024969,-0.046121,0.19007,0.2394,-0.14155,-0.010122,-0.17392,0.17052
0.37631,0.49975,-0.26975,-0.15861,0.26034,0.11575,-0.29706,-0.029873,-0.089362,0.13356
0.06513,0.16725,-0.15177,-0.16358,0.20595,0.2333,-0.0092321,0.14948,-0.072592,0.13448
-0.078085,0.1721,-0.30469,-0.28435,0.091885,0.26131,0.03164,-0.055017,-0.02975,0.2116
0.037131,0.22213,0.011053,0.13562,0.052102,0.28428,-0.15102,0.040091,-0.041218,0.22925
-0.25491,0.047293,-0.31076,0.10775,0.36036,0.26659,-0.021483,0.10783,-0.0067759,0.066114
0.17488,0.30987,0.10632,0.16545,0.15998,0.32165,0.2447,0.15038,0.15833,0.19616
