DA,VA,FP,DMN
0.91938,0.44286,0.27174,0.52001
0.80376,0.41559,0.34435,0.27624
0.5917,0.44466,0.39534,0.36913
0.50743,0.38817,0.39557,0.35784
0.78231,0.63398,0.30386,0.47942
0.26998,0.31469,0.30804,0.23076
0.39885,0.37094,0.32597,0.3109
0.57771,0.43481,0.29949,0.32532
0.85987,0.31653,0.451,0.52747
0.6256,0.27455,0.4032,0.45013
0.70062,0.54749,0.29358,0.49306
1.0404,0.72815,0.66188,0.69346
0.49745,0.28135,0.27201,0.37193
0.80878,0.50953,0.32617,0.38917
0.47756,0.51391,0.29735,0.54659
0.43229,0.2973,0.54321,0.45269
0.48362,0.48574,0.24886,0.3241
0.73606,0.48472,0.46214,0.44349
0.72169,0.47489,0.38596,0.41147
0.62493,0.39958,0.32645,0.3621
0.45901,0.37995,0.44287,0.32895
0.58412,0.25553,0.2398,0.40497
0.43307,0.26949,0.28502,0.26482
0.44709,0.50517,0.16208,0.34652
0.87113,0.51406,0.36605,0.37981
0.05145,0.38143,0.35686,0.32656
0.29406,0.27543,0.23416,0.4061
0.35596,0.26755,0.34358,0.19768
0.47216,0.52059,0.3708,0.49864
0.2627,0.47136,0.32789,0.34993
0.52561,0.44847,0.35619,0.37466
1.0516,0.74414,0.54269,0.48498
0.50519,0.37926,0.23079,0.22915
0.57171,0.42031,0.25986,0.30053
0.36253,0.41603,0.48462,0.2544
0.18227,0.22692,0.20478,0.40375
0.36846,0.43364,0.18161,0.33564
0.66441,0.45323,0.33256,0.43307
0.62419,0.28095,0.306,0.33659
0.36528,0.30707,0.34054,0.41417
0.49395,0.31621,0.31465,0.23926
0.42958,0.45106,0.32076,0.54292
0.81887,0.40535,0.45989,0.38427
0.70691,0.42029,0.42224,0.44916
0.53906,0.47304,0.53572,0.58741
0.12398,0.29623,0.20605,0.31702
0.2929,0.44206,0.21273,0.22457
0.48034,0.31835,0.14337,0.30339
0.22932,0.32608,0.25652,0.40996
0.25985,0.24484,0.30845,0.2981
0.55757,0.18821,0.53862,0.50619
0.5158,0.45782,0.31593,0.30369
0.87499,0.61383,0.66528,0.56902
0.37183,0.36139,0.36376,0.29334
0.57542,0.29698,0.24927,0.29809
0.66965,0.43582,0.23627,0.39976
0.2882,0.32354,0.28003,0.38394
1.1236,0.68108,0.71372,0.66239
0.59301,0.30004,0.38128,0.46241
0.5731,0.35287,0.31415,0.53889
0.41979,0.32699,0.3094,0.45868
0.28805,0.30443,0.36275,0.26879
0.68709,0.48687,0.31981,0.6034
0.86554,0.35483,0.34499,0.25337
0.58836,0.13477,0.17989,0.30426
0.43219,0.14925,0.38604,0.35409
0.3478,0.31786,0.39631,0.27907
0.43958,0.29193,0.25311,0.40013
0.48034,0.28988,0.18776,0.46951
0.44864,0.40535,0.35456,0.31029
0.98783,0.59844,0.44342,0.44756
0.18568,0.3258,0.26783,0.37471
0.42799,0.31252,0.34081,0.51236
0.52641,0.4961,0.34108,0.44484
0.48145,0.42807,0.4974,0.237
0.5968,0.37818,0.32377,0.34099
0.45139,0.29549,0.27894,0.46918
0.63632,0.36535,0.43256,0.24781
0.49585,0.32325,0.34254,0.1714
0.48264,0.53521,0.2591,0.17338
0.44462,0.30555,0.2532,0.38424
0.61743,0.18854,0.34031,0.45034
0.28784,0.4437,0.20412,0.20811
0.44276,0.36616,0.32629,0.46732
0.46965,0.69539,0.61474,0.45773
0.28972,0.36293,0.20448,0.27263
0.29572,0.37837,0.25028,0.35465
0.50537,0.29696,0.13073,0.3086
0.54765,0.41271,0.39234,0.4537
0.29528,0.31151,0.36984,0.53088
0.66098,0.5903,0.43952,0.50714
0.18896,0.36106,0.3258,0.20251
0.57403,0.36062,0.23193,0.23425
0.35747,0.35481,0.19789,0.26178
0.47049,0.22192,0.30222,0.53743
0.85487,0.55322,0.40527,0.46341
0.39409,0.37323,0.19965,0.29736
0.45431,0.44149,0.22486,0.38932
0.02796,0.22009,0.29345,0.32413
0.97013,0.3537,0.65089,0.48076
0.74319,0.43939,0.32815,0.40445
1.1546,0.47543,0.59748,0.53541
0.83842,0.36886,0.26677,0.17709
1.0807,0.55508,0.45886,0.47971
0.62255,0.21182,0.4165,0.51335
0.25333,0.22278,0.22619,0.35865
1.3763,1.004,0.79214,0.82542
0.33301,0.28384,0.30532,0.30857
0.50805,0.60625,0.22908,0.34053
0.59177,0.51733,0.30566,0.52303
0.79294,0.50529,0.4789,0.76044
0.27122,0.30781,0.29311,0.20083
0.77093,0.4217,0.38048,0.46633
0.6134,0.54364,0.30394,0.43342
0.48567,0.39644,0.29756,0.2426
0.43028,0.40482,0.32523,0.53935
0.19891,0.26866,0.2673,0.60626
0.81902,0.4774,0.35716,0.57026
0.63188,0.32745,0.3753,0.57117
0.32362,0.41104,0.26672,0.5392
0.87213,0.65176,0.37515,0.58015
0.38895,0.33096,0.29061,0.15026
0.65049,0.34452,0.21837,0.35266
0.7045,0.20312,0.26886,0.26091
0.53725,0.36487,0.51599,0.47975
0.91318,0.32793,0.32172,0.17576
0.52551,0.31883,0.18919,0.23814
0.76637,0.20086,0.50214,0.44929
0.67297,0.35332,0.42626,0.43754
0.49021,0.31377,0.34719,0.35556
0.56707,0.61762,0.3229,0.39641
0.27444,0.30623,0.30658,0.35309
0.89247,0.59414,0.38153,0.40613
0.45876,0.44023,0.29598,0.35976
0.56164,0.31153,0.26541,0.29141
0.81377,0.36475,0.4388,0.44669
0.82516,0.37572,0.30692,0.31418
0.66483,0.5005,0.45363,0.44524
0.37658,0.44183,0.15153,0.24857
,,,
,,,
