composite,meanFD,age,sex
0.026054347,0.14863,28,2
1.47409113,0.07314,24,1
-0.578343564,0.11625,30,1
0.78916319,0.08228,30,1
-0.968471511,0.10367,19,2
-0.474494334,0.12313,27,1
0.197851873,0.06489,29,2
0.587476706,0.11858,20,1
0.158604914,0.20446,27,2
-0.09419861,0.08482,23,2
0.271929817,0.15728,25,1
0.504021652,0.27119,24,2
0.24603318,0.08463,25,2
0.763197156,0.109,27,1
0.830059631,0.06546,25,2
0.231655612,0.11017,18,1
-0.131725947,0.13797,23,1
-0.384260842,0.12805,24,1
0.81782975,0.1376,28,2
0.72117595,0.10568,21,1
-1.099595981,0.17108,20,1
0.389114559,0.06215,27,2
0.247159679,0.11731,19,2
0.189658912,0.15357,24,2
-0.193968591,0.09487,26,1
-0.067955051,0.14243,34,1
0.170706486,0.08281,21,1
1.009477476,0.07569,23,1
-0.515992426,0.08988,28,1
-0.553861557,0.22096,18,2
-0.190937491,0.24467,29,1
-0.271847737,0.15297,21,2
0.262090764,0.14038,22,1
-0.613877253,0.05538,20,1
0.044152905,0.15599,24,1
0.035010171,0.09667,26,1
-0.48508069,0.11926,26,2
0.274686914,0.11462,20,1
-0.160240125,0.14539,26,1
-0.660974005,0.1445,29,2
0.283092107,0.05251,32,1
0.422370638,0.12866,33,2
-1.192992314,0.1243,24,2
0.651930417,0.08108,18,1
-0.076505361,0.1443,28,2
1.036338786,0.09558,18,1
0.252650209,0.13827,24,1
0.294634513,0.18891,18,2
0.345453114,0.08247,28,1
-0.749262551,0.11862,18,1
-0.428499126,0.10578,21,2
0.944533132,0.18029,19,1
0.013720273,0.11158,26,1
0.47896385,0.0653,22,2
0.073082942,0.102,26,2
0.944001438,0.12581,34,2
-0.157924784,0.29627,19,2
-0.737253612,0.16643,34,1
-0.395286481,0.09449,23,2
0.536565968,0.18559,22,1
0.139749004,0.13374,27,1
-0.46973842,0.04704,27,1
0.412723185,0.10935,18,2
0.642159419,0.19828,27,2
0.470229649,0.07687,18,1
-0.103703885,0.08725,23,1
0.284543863,0.04393,31,1
-0.378080563,0.27732,27,1
-0.109191041,0.12692,25,1
-0.268293205,0.07535,18,1
0.509204284,0.08269,28,1
0.027826422,0.15113,20,1
0.339651902,0.20654,24,2
-0.286050007,0.15648,20,2
0.004516876,0.2284,19,1
0.839815236,0.06157,31,1
-0.068582297,0.10193,19,2
-0.537021893,0.11619,22,1
-0.793893234,0.09955,30,2
-0.594529566,0.10901,23,1
-0.8150053,0.08889,32,1
-0.706716981,0.0675,18,2
-0.486551064,0.08234,28,1
-0.527256766,0.20332,18,1
-1.099171621,0.09306,24,1
0.133979985,0.13111,22,1
-0.776055929,0.09659,33,1
0.121306995,0.14437,21,1
-0.724996852,0.17634,28,1
-0.878437369,0.20987,24,2
0.193009942,0.21357,20,1
-0.869108671,0.30261,18,1
-1.343598484,0.29467,23,2
0.685411107,0.19597,21,2
0.084338514,0.09719,19,1
-0.068608494,0.19526,23,2
0.155654407,0.15188,23,2
0.515450035,0.15409,34,2
0.172527679,0.13792,20,2
-0.260531765,0.06892,21,2
0.547412312,0.07751,28,1
0.496042449,0.16322,27,1
0.007760612,0.26485,27,1
0.003707706,0.25907,28,1
0.354462612,0.08414,18,1
0.231851644,0.09481,21,1
-0.909917185,0.18434,28,1
-0.174235175,0.21927,30,1
-0.136372787,0.10697,22,2
0.142950886,0.21795,32,1
-0.094037351,0.09425,23,2
0.138751981,0.22179,18,2
0.643207715,0.15826,29,2
-0.358409671,0.20584,28,2
-0.329957981,0.15774,22,1
0.267458127,0.12148,19,2
-0.210393181,0.12435,27,2
0.069789731,0.06454,29,1
0.023301878,0.17035,34,1
0.353950442,0.13969,23,1
0.62927367,0.13529,26,1
1.043869677,0.12201,22,1
-0.757694668,0.14075,28,1
0.13224205,0.15379,19,1
0.547006862,0.04988,29,2
-0.121362795,0.07846,19,1
0.197400269,0.13205,27,2
-0.479634163,0.07317,20,1
1.370524158,0.07094,18,1
-0.096173881,0.06911,19,1
-1.203442606,0.17348,25,1
0.180558661,0.10985,22,2
0.585985686,0.0907,25,2
-0.002965056,0.14248,19,2
-0.623984429,0.06191,22,1
0.261263253,0.14683,33,2
-0.10202934,0.18957,25,1
0.626772069,0.10195,29,1
-0.177459564,0.05186,26,1
